name,z
spec-11561-58485-0427,1.6046036
spec-7745-58077-0442,1.6901313
spec-7748-58396-0858,1.6005914
spec-8744-58124-0142,1.9472779
spec-7744-58396-0797,1.9717319
spec-11561-58485-0098,1.9147336
spec-7746-58074-0828,1.8566339
spec-7744-58396-0514,1.7613993
spec-7743-58107-0368,1.8917376
spec-9406-58067-0392,2.145313
spec-7749-58073-0008,1.6675457
spec-8744-58124-0400,1.6833975
spec-11561-58485-0470,1.5662768
spec-11546-58488-0091,1.7332935
spec-7747-58398-0476,1.6424593
spec-7748-58396-0730,2.0594745
spec-7748-58396-0360,1.6722549
spec-7744-58396-0810,1.6458269
spec-7749-58073-0264,1.801311
spec-7745-58077-0229,1.8357929
spec-7746-58074-0469,1.5489218
spec-11277-58450-0029,1.730505
spec-7746-58074-0306,2.0829704
spec-8746-58396-0164,1.8412313
spec-7741-58078-0439,2.0080495
spec-9411-58070-0163,1.7417936
spec-7748-58396-0819,1.7440134
spec-7742-58076-0330,1.6504807
spec-7743-58107-0846,2.0930572
spec-11311-58429-0072,1.675196
spec-7744-58396-0806,1.5234987
spec-8746-58396-0308,2.0225632
spec-11309-58428-0090,1.6178751
spec-8746-58396-0758,1.925317
spec-11277-58450-0300,1.9961333
spec-7741-58078-0340,1.7580582
spec-7749-58073-0337,1.7817264
spec-8746-58396-0830,1.7814946
spec-8746-58396-0099,1.5272876
spec-11561-58485-0061,1.7635812
spec-7746-58074-0351,1.85274
spec-8744-58124-0154,1.7617056
spec-7744-58396-0152,1.7015644
spec-7744-58396-0851,2.1067622
spec-11312-58433-0106,1.9400964
spec-7749-58073-0360,1.6228842
spec-8744-58124-0292,1.5025982
spec-7749-58073-0730,1.9689907
spec-7746-58074-0582,1.9658135
spec-7746-58074-0428,1.7246476
